Title,P-ISSN,E-ISSN,Source Type,All Science Classification Codes (ASJC)
Acta Physiologica et Pharmacologica Bulgarica,03239950,,Journal,1314; 3004;
Acta Physiologica et Pharmacologica Latinoamericana,03266656,,Journal,1314; 3004;
Acta Physiologica Latino-Americana,00016764,,Journal,1314; 3004;
Acta Physiologica Pharmacologica et Therapeutica Latinoamericana,03276309,,Journal,1314; 3004;
Acta Physiologica Polonica,00446033,,Journal,1314;
Acta Physiologica Scandinavica,00016772,1365201X,Journal,1314;
"Acta Physiologica Scandinavica, Supplement",03022994,,Journal,1314;
Acta Physiologica Sinica,03710874,,Journal,1314;
Acta Phytogeographica Suecica,00845914,,Journal,1100;
Acta Phytopathologica et Entomologica Hungarica,02381249,15882691,Journal,1109; 1110;
Acta Phytotaxonomica Sinica,05291526,,Journal,1110; 1105;
Acta Poloniae Pharmaceutica,00016837,,Journal,3003; 3004;
Acta Poloniae Toxicologica,12306967,,Journal,3005;
Acta Protozoologica,00651583,16890027,Journal,1100;
Acta Scientiarum - Agronomy,16799275,,Journal,1102;
Acta Scientiarum - Animal Sciences,18062636,,Journal,1103; 1106;
Acta Scientiarum - Biological and Health Sciences,14156814,,Journal,1110; 1300; 2700;
Acta Scientiarum - Biological Sciences,16799283,,Journal,1100; 1300;
Acta Scientiarum - Health Sciences,16799291,,Journal,1300; 2700;
"Acta Scientiarum Polonorum, Hortorum Cultus",16440692,,Journal,1108; 1110;
"Acta Scientiarum Polonorum, Technologia Alimentaria",16440730,,Journal,1106;
Acta Silvatica et Lignaria Hungarica,1786691X,1787064X,Journal,1107;
Acta Societatis Botanicorum Poloniae,00016977,,Journal,1110;
Acta Stereologica,0351580X,,Journal,2702; 1304;
Acta Tabacaria Sinica,10045708,,Journal,1101; 
Acta Technologiae et Legis Medicamenti,11212098,,Journal,3003;
Acta Theriologica,00017051,,Journal,1105; 1103;
Acta Theriologica Sinica,10001050,,Journal,1103;
Acta Toxicologica,17316383,,Journal,3005;
Acta Tropica,0001706X,,Journal,2725; 2405;
Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,12118516,,Journal,1100;
Acta Virologica,0001723X,,Journal,2725; 2406;
Acta Zoologica,00017272,14636395,Journal,1105; 1307; 1103;
Acta Zoologica Academiae Scientiarum Hungaricae,12178837,,Journal,1105;
Acta Zoologica Bulgarica,03240770,,Journal,1103; 1105; 1104; 1109; 
Acta Zoologica Lituanica,13921657,,Journal,1103;
Actas Luso-Espanolas de Neurologia Psiquiatria y Ciencias Afines,03005062,,Journal,2800; 2700;
Actividad Dietetica,11380322,,Journal,1106; 2916;
Activitas Nervosa Superior,00017604,,Journal,2728; 2805; 2738; 2802; 2803; 2808;
Activitas Nervosa Superior,18029698,,Journal,2805; 2738; 2728; 2803; 2802; 2808;
Activitas Nervosa Superior Rediviva,1337933X,13384015 ,Journal,2800; 
Actualites Pharmaceutiques,05153700,,Journal,3004; 2736;
Actualites Pharmaceutiques Hospitalieres,17697344,,Journal,3003;
Acupuncture and Electro-Therapeutics Research,03601293,,Journal,2800; 2707; 2703;
Adansonia,12808571,,Journal,1110;
Adaptive Behavior,10597123,,Journal,2802; 3205;
Addiction Biology,13556215,13691600,Journal,2738; 3004; 2701;
Addictive Behaviors,03064603,,Journal,3203; 2738; 3005; 2701;
Adipocytes,15502082,,Journal,1310; 1314; 2712; 
Advanced Drug Delivery Reviews,0169409X,,Journal,3003;
Advanced healthcare materials,21922640,21922659 ,Journal,2502; 2204; 3003; 
Advanced Pharmaceutical Bulletin,22285881,22517308 ,Journal,3000; 
Advances and Applications in Bioinformatics and Chemistry,11786949,,Journal,1303; 1301; 1706; 1601;
Advances in Bioinformatics,16878027,16878035,Journal,2204; 1301; 1706;
Advances in Biophysics,0065227X,,Journal,1303; 1304;
Advances in Breast Cancer,17420946,,Journal,1306; 2730;
Advances in Carbohydrate Chemistry and Biochemistry,00652318,,Journal,1303; 1605;
Advances in Clinical and Experimental Medicine,1230025X,,Journal,1300; 2700;
Advances in Drug Research,00652490,,Journal,3004;
Advances in Free Radical Biology and Medicine,87559668,,Journal,1303;
Advances in Gastrointestinal Cancers,14799995,,Journal,2715; 1306; 2730;
Advances in Heterocyclic Chemistry,00652725,,Journal,1303; 1605; 2507;
Advances in Horticultural Science,03946169,15921573,Journal,1108;
Advances in Limnology,1612166X,,Journal,2303; 1105; 2312; 1104;
Advances in Neuroimmune Biology,1878948X,18789498 ,Journal,1310; 2807; 2403;
Advances in Neuroimmunology,09605428,,Journal,2800; 2403;
Advances in nutritional research,01499483,,Journal,1106; 2739;
Advances in Parasitology,0065308X,,Journal,2405;
Advances in Pharmacological Sciences,16876334,16876342,Journal,1313; 3000; 2736;
Advances in Pharmacology and Chemotherapy,00653144,,Journal,3000; 2700;
Advances in Pharmacy,15323862,,Journal,3003;
Advances in second messenger and phosphoprotein research,10407952,,Journal,1312;
Advances in Virology,16878639,16878647 ,Journal,2406; 2725; 
Adverse Drug Reaction Bulletin,00446394,,Journal,3004; 2736;
Adverse Drug Reactions and Toxicological Reviews,0964198X,,Journal,2307; 3005; 3004;
Aerobiologia,03935965,,Journal,1110; 2403; 2723;
African Entomology,10213589,,Journal,1109; 1105; 1102;
African Invertebrates,16815556,,Journal,1103; 1105; 1109;
African Journal Biomedical Research,11195096,,Journal,2700; 3000;
African Journal of AIDS Research,16085906,17279445,Journal,2725; 2406; 2739;
African Journal of Aquatic Science,16085914,,Journal,1105; 1104;
African Journal of Biotechnology,16845315,,Journal,2402; 1311; 1312; 1102; 1305;
African Journal of Clinical and Experimental Microbiology,,1595689X,Journal,2406; 2726; 2404; 
African Journal of Ecology,01416707,13652028,Journal,1105;
African Journal of Herpetology,04416651,,Journal,1105; 1103;
African Journal of Marine Science,1814232X,18142338,Journal,1105; 1104;
African Journal of Microbiology Research,19960808,,Journal,2725; 2404; 1110;
African Journal of Neurological Sciences,10158618,,Journal,2728; 2800;
African Journal of Pharmacy and Pharmacology,19960816,,Journal,3004; 3003;
African Journal of Range and Forage Science,10220119,,Journal,2303; 1103;
"African Journal of Traditional, Complementary and Alternative Medicines",01896016,,Journal,3002; 2707;
African Natural History,18168396,,Journal,1911; 1103; 1105; 3314; 
African Zoology,15627020,,Journal,1103;
AgBioForum,1522936X,,Journal,2002; 1106; 1102; 1305;
Age,01619152,,Journal,2717; 1302;
Age and Ageing,00020729,14682834,Journal,2717; 1302;
Ageing Research Reviews,15681637,,Journal,1303; 1312; 1302; 1305; 2808;
Agents and Actions,00654299,,Journal,3005; 2736;
Aging,03949532,,Journal,1305;
Aging - Clinical and Experimental Research,15940667,17208319,Journal,2717; 1302;
Aging and Cognition,09289917,,Journal,2738; 1302;
Aging and Disease,,21525250,Journal,2728; 2717; 2734; 1307; 
Aging Cell,14749718,,Journal,1307; 1302;
Aging: Immunology and Infectious Disease,08928762,,Journal,2403; 1302;
Agrarforschung Schweiz,16637852,,Journal,2310; 1103; 1102; 1106; 1108; 
Agrekon,03031853,20780400 ,Journal,1102; 2002; 3305;
Agribiological Research: Zeitschrift fuer Agrarbiologie -Agrikulturchemie -Oekologie,09380337,,Journal,1102;
Agribusiness,07424477,15206297 ,Journal,1103; 1102; 1106; 2002; 3305;
Agricultura Tecnica,03652807,07176333,Journal,1103; 1102;
Agricultural and Biological Chemistry,00021369,,Journal,1100; 1300;
Agricultural and Food Science,14596067,,Journal,1106;
Agricultural and Food Science in Finland,12390992,14573806,Journal,1106; 1101;
Agricultural and Forest Entomology,14619555,14619563,Journal,1109; 1102; 1107;
Agricultural and Forest Meteorology,01681923,,Journal,2306; 1102; 1107; 1902;
Agricultural and Resource Economics Review,10682805,,Journal,2002; 1102;
Agricultural Economics,0139570X,,Journal,2000; 1101;
Agricultural Economics,01695150,,Journal,2002; 1102;
Agricultural Economics Review,11092580,,Journal,1102;
Agricultural Engineering International: CIGR Journal,16821130,,Journal,1102; 2203; 2101; 2209;
Agricultural History,00021482,,Journal,1202; 1101;
Agricultural History Review,00021490,,Journal,2002; 1103; 1102;
Agricultural Science in Finland,0789600X,,Journal,1110;
Agricultural Sciences in China,16712927,,Journal,1110; 1102;
Agricultural Systems,0308521X,18732267,Journal,1103; 1102;
Agricultural Water Management,03783774,,Journal,2312; 1904; 1111; 1102;
Agriculture,05513677,13384376,Journal,1102; 1111; 1108; 1110; 
Agriculture and Human Values,0889048X,15728366,Journal,1102;
Agriculture et Developpement,12499951,,Journal,1100;
"Agriculture, Ecosystems and Environment",01678809,,Journal,2303; 1103; 1102;
Agris On-line Papers in Economics and Informatics,18041930,,Journal,1101; 2001; 2308; 3305; 
AgriScientia,03276244,,Journal,1102; 1111;
Agrivita,01260537,,Journal,1102; 
Agro Food Industry Hi-Tech,17226996,,Journal,1106; 2209;
Agroalimentaria,13160354,,Journal,2000; 1106; 3300;
Agrochimica,00021857,,Journal,1111; 1102;
Agrociencia,14053195,,Journal,1110; 2300; 1103; 1102;
Agroecology and Sustainable Food Systems,21683565,21683573 ,Journal,2105; 1102; 3303; 
Agroforestry Systems,01674366,15729680,Journal,1102; 1107;
Agrokemia es Talajtan,00021873,15882713 ,Journal,1111; 1102;
Agronomia Colombiana,01209965,,Journal,1102; 
Agronomie,02495627,12979643,Journal,1102;
Agronomy for Sustainable Development,17740746,17730155,Journal,1102; 2305;
Agronomy Journal,00021962,14350645,Journal,1102;
Agronomy Research,1406894X,,Journal,1102;
AGSO Research Newsletter,1039091X,,Journal,1104;
AICHE Journal,00011541,15475905,Journal,1500; 1305; 2305;
AIDS,02699370,,Journal,2723; 2725; 2403;
AIDS Research,07376006,,Journal,2403; 2406;
AIDS Research and Human Retroviruses,08892229,,Journal,2725; 2403; 2406;
AIDS Research and Therapy,17426405,,Journal,2406; 1313;
"AIDS, Supplement",13502840,,Journal,2403; 2406; 2723;
AIDS-Forschung : AIFO = Acquired immune deficiency syndrome research,01793098,,Journal,2406; 2739; 2723;
AJOB Neuroscience,21507740,21507759 ,Journal,2800;
Aktuelle Endokrinologie,09431837,,Journal,1310;
Aktuelle Endokrinologie und Stoffwechsel,01724606,,Journal,1303; 1310;
Aktuelle Ernahrungsmedizin Klinik und Praxis,03410501,14389916,Journal,1106; 2701;
Alaska Fishery Research Bulletin,10917306,,Journal,1103; 1104;
Alauda,00024619,,Journal,1103;
Alcheringa,03115518,,Journal,1911; 1105;
Alcohol,07418329,,Journal,1303; 3306; 2802; 3005; 2808; 2700;
Alcohol and Alcoholism,07350414,14643502,Journal,2738; 3005; 2701;
Alcoholism: Clinical and Experimental Research,01456008,15300277,Journal,2738; 3005; 2701;
Alergie,12123536,,Journal,2403; 2723;
Algae,12262617,20930860 ,Journal,1105; 1104; 1110; 
Algal Research,22119264,,Journal,1102;
Algorithms for Molecular Biology,17487188,,Journal,1315; 1703; 1312; 2604;
Alimentary Pharmacology and Therapeutics Symposium Series,17466334,,Journal,3000; 2736;
"Alimentary Pharmacology and Therapeutics, Supplement",09530673,,Journal,3000; 2736;
Allelopathy Journal,09714693,,Journal,1110; 1102;
"Allergy, Asthma and Immunology Research",20927355,20927363,Journal,2740; 2403; 2723;
Allergy: European Journal of Allergy and Clinical Immunology,01054538,13989995,Journal,2403; 2723;
"Allergy: European Journal of Allergy and Clinical Immunology, Supplement",01081675,,Journal,2403; 2723;
Allgemeine Forst und Jagdzeitung,00025852,,Journal,2303; 1107;
Alpe Adria Microbiology Journal,11219750,,Journal,2404; 2726;
Alpine Botany,16642201,,Journal,1105; 1110;
ALTEX : Alternativen zu Tierexperimenten,09467785,,Journal,3607; 3004;
Alytes,07534973,,Journal,2303; 1103;
Alzheimer's and Dementia,15525260,15525279,Journal,2728; 2804; 2717; 2713; 2738; 2719; 2806;
Alzheimer's Care Quarterly,15253279,,Journal,2909; 3206; 2800; 2717;
Alzheimer's Care Today,19363001,19366760,Journal,2909; 3206; 2800; 2717;
Alzheimer's Disease Research Journal,19352514,,Journal,2805; 2804; 2728;
Alzheimer's Reports,14616130,,Journal,2728; 2808;
Alzheimer's Research,1356918X,,Journal,3206; 2800;
Alzheimer's Research and Therapy,17589193,,Journal,2805; 2728; 2808;
"AMA, Agricultural Mechanization in Asia, Africa and Latin America",00845841,,Journal,2200; 1101;
Amazoniana,00656755,,Journal,2303; 1104;
AMB Express,21910855,,Journal,1304; 2402;
Ameghiniana,00027014,,Journal,1911; 1105;
American Bee Journal,00027626,,Journal,1109;
American Biology Teacher,00027685,,Journal,1100; 3304; 1101;
American Biotechnology Laboratory,07493223,,Journal,1305;
American Druggist,01905279,,Journal,3003;
American Fern Journal,00028444,,Journal,1110; 1105;
American Journal of Agricultural and Biological Science,15574989,,Journal,1100;
American Journal of Agricultural Economics,00029092,,Journal,2002; 1101;
American Journal of Alternative Agriculture,08891893,14785498,Journal,1101;
American Journal of Animal and Veterinary Sciences,15574555,15574563,Journal,3400; 1103;
American Journal of Biochemistry and Biotechnology,15533468,,Journal,1303; 1305;
American Journal of Biochemistry and Molecular Biology,21504210,21504253 ,Journal,1300; 
American Journal of Blood Research,,21601992,Journal,2730; 2720; 1306; 1307; 
American Journal of Botany,00029122,15372197,Journal,1110; 1105; 1311;
American Journal of Cancer Research,,21566976,Journal,2730; 1306; 
American Journal of Clinical Oncology,02773732,,Journal,1306; 2730;
American Journal of Drug Delivery,11759038,,Journal,3004;
American Journal of Drug Discovery and Development,2150427X,21504296 ,Journal,3002; 
American Journal of EEG Technology,00029238,,Journal,2800;
American Journal of Enology and Viticulture,00029254,,Journal,1106; 1108;
American Journal of Food Technology,15574571,1557458X,Journal,1106;
American Journal of Health-System Pharmacy,10792082,,Journal,2719; 3004;
American Journal of Hospital Pharmacy,00029289,,Journal,3003; 2911;
American Journal of Human Genetics,00029297,15376605,Journal,1311; 2716;
American Journal of Immunology,1553619X,,Journal,2403; 2723;
American Journal of Medical Genetics - Seminars in Medical Genetics,15524868,15524876,Journal,1311; 2716;
"American Journal of Medical Genetics, Part A",15524825,15524833,Journal,1311; 2716;
"American Journal of Medical Genetics, Part B, Neuropsychiatric Genetics",15524841,1552485X,Journal,2804; 2716; 2738;
American Journal of Nuclear Medicine and Molecular Imaging,,21608407,Journal,1312; 2741; 
American Journal of Pharmaceutical Education,00029459,,Journal,3304; 3000;
American Journal of PharmacoGenomics,11752203,,Journal,1311; 1313; 3004;
American Journal of Pharmacology and Toxicology,15574962,15574970,Journal,3000; 2736;
American Journal of Pharmacy Benefits,19454481,,Journal,1403; 3001; 1801;
American Journal of Physiology - Advances in Physiology Education,10434046,15221229,Journal,1314;
American Journal of Physiology - Cell Physiology,03636143,15221563,Journal,1307; 1314;
American Journal of Physiology - Endocrinology and Metabolism,01931849,15221555,Journal,2712; 1314; 2737;
American Journal of Physiology - Gastrointestinal and Liver Physiology,01931857,15221547,Journal,2715; 2721; 1314; 2737;
American Journal of Physiology - Heart and Circulatory Physiology,03636135,15221539,Journal,1314; 2705; 2737;
American Journal of Physiology - Lung Cellular and Molecular Physiology,10400605,15221504,Journal,1307; 2740; 1314; 2737;
American Journal of Physiology - Regulatory Integrative and Comparative Physiology,03636119,15221490,Journal,1314; 2737;
American Journal of Physiology - Renal Fluid and Electrolyte Physiology,03636127,15221466,Journal,1314;
American Journal of Physiology - Renal Physiology,1931857X,,Journal,2748; 1314;
American Journal of Plant Physiology,15574539,,Journal,1110; 1314;
American Journal of Potato Research,1099209X,,Journal,1102;
American Journal of Primatology,02752565,10982345,Journal,1105; 1103;
American Journal of Reproductive Immunology,10467408,,Journal,2403; 2729; 2743; 2723;
American Journal of Reproductive Immunology and Microbiology,87558920,16000897,Journal,2403; 2729;
American Journal of Respiratory Cell and Molecular Biology,10441549,15354989,Journal,1307; 1312; 2740; 1308;
American Journal of Respiratory Medicine,11756365,,Journal,2740; 3004;
American Journal of Stem Cells,,21604150,Journal,1312; 1309; 1307; 
American Journal of Therapeutics,10752765,15363686,Journal,3004; 2736;
American Journal of Translational Research,19438141,,Journal,1313; 2700; 1308; 1306;
American Journal of Tropical Medicine and Hygiene,00029637,,Journal,2725; 2406; 2405;
American Malacological Bulletin,07402783,,Journal,1105; 1104;
American Midland Naturalist,00030031,,Journal,1105;
American Pharmaceutical Outsourcing,15296318,,Journal,3003; 3004;
American Pharmaceutical Review,10998012,,Journal,3003;
American Pharmacy,01603450,,Journal,3003;
American Potato Journal,00030589,,Journal,1110;
Amino Acids,09394451,14382199,Journal,1303; 1605; 1308;
Amphibia - Reptilia,01735373,15685381,Journal,1103;
